Title,Subject,Description,Website,,,,
Healthline: ADD / ADHD Learning Center,,Articles and News about Attention-deficit hyperactivity disorder,http://www.healthline.com/health/add-adhd-attention-deficit,,,,
Learning Disability Holidays,,"Learning disability holidays from specialist providers, find supported adult holidays in the UK and abroad offering learning opportunities for all levels of disability.",http://www.disabilityholidaysguide.com/Learning-Disability-Holidays-191.asp,,,,
Kylie Jarvis - Talking about Learning Disability Issues,,Kylie is a woman with Down's Syndrome who wants to be famous.  She has given many talks and acts as an accessible communications consultant for groups such as Clear.  Look at Kylie's website for more details on her achievements to date and how she could help your group or organisation.,http://www.kylie.cswebsites.org,,,,
Roy the Zebra,,"Free interactive reading games, perfect for using with your interactive whiteboard or on a computer. Words that rhyme, full stops, capital letters, high frequency words and much more...thanks to Suzanne Sear of Charlton School for spreading the word about this very useful and entertaining freebie.",http://www.roythezebra.com/index.html,,,,
Tux Paint - free art software,,"Tux Paint is a free, award-winning drawing program for children ages 3 to 12 (key stages 1 & 2). It combines an easy-to-use interface, fun sound effects, and an encouraging cartoon mascot who guides children as they use the program. Recommended to Check the Map by Deborah Moppett of Harlow Fields School.",http://www.tuxpaint.org/,,,,
Boys and Girls Personal Communication Passports,,"These free resources are in pdf file format and can be saved to your computer and/or printed out.
The passports are a way of describing a persons individuality and needs to anyone who works with them. Very useful where communication is limited, and can save a lot of frustration from both sides. It means you can know about a person quickly and give the correct support.",http://www.ispeek.co.uk/freestuff.htm,,,,
Axistive - Assistive Technology News Portal,,"Offers free news, articles, product reviews and all product and vendor information of assistive technology devices.",http://www.axistive.com,,,,
Interactive Tasks Using MS Word,,"Thanks to the hard work Craig at Assist IT you'll find lots of FREE interactive curriculum resources on this link.  Try picture matching with the Romans, or for older learners, a cloze exercise about mobile phone technology. This site has many other excellent resources too - definitely worth a look!",http://www.assist-it.org.uk/assets/content/learning_resources.htm,,,,
Numeracy Tasks using MS Excel,,"Our thanks to Craig at Assist IT for supplying this link to some fabulous and FREE numeracy resources. Try your hand at times tables, easy sums and adding and subtracting. Simple, colourful resources that will be very useful for all that extra maths practice -and totally accessible with a mouse, keyboard, touch screen, switch (and onscreen keyboard), concept keyboard... brilliant.",http://www.assist-it.org.uk/assets/content/learning_resources.htm,,,,
Interactive Computing Crossword,,"You can use this as a learning resource for Information Technology at Access Level 3 / Intermediate Level 1. If the clues are too difficult, you can edit them by clicking in the text clue/text box. Check out all the other fabulous resources for English and Maths under this link too.",http://www.assist-it.org.uk/assets/content/learning_resources.htm,,,,
ICT Games,,"This site provides ICT activites linked to the English National Curriculum. Divided into literacy and numeracy there are tons of wonderful resources and games that cover topics such as: counting, subtracting, number bonds, weights and measurements, division, multiplication, more & less, shapes, clocks, fractions, decimals, percentages, money... and then, for literacy... phonemes, initial letters, letter forming, spelling patterns, high frequency words, sight recognition, reading, listening, rhyming.... and there's so much more.  Many useful teacher tools that are great for whiteboard work are to be found here too.  The site isn't switch accessible and you need Flash Player to run the games.  It's a fabulous bank of learning tools and makes everything just that little bit more fun...  All games are designed, made by and © copyright 2005 of James Barrett.",http://www.ictgames.com/index.html,,,,
Jessica Kingsley Publishers,,"Jessica Kingsley publishers provide a wealth of books and resources on autism spectrum conditions, learning disabilities, special needs and social work, suitable for parents and professionals.",http://www.jkp.com,,,,
Free Digital Photos,,"Using photos is one way of making documents greatly more appealing and accessible for students with special needs. Here you'll find a collection of quality photos that can be used for any purpose including teaching aids and homework. Search and browse functions allow you to find images from different contexts, from everyday items, to people, places and animals.",http://www.freedigitalphotos.net,,,,
Flickr - Online Photo Management,,"Share or find photos with this great new online application.

Flickr is a way to show your photos to the people who matter to you. With Flickr you can:

    * Show off your favourite photos to the world
    * Blog the photos you take with a cameraphone
    * Securely and privately show photos to your friends and family around the world.  For teachers, parents and students - this site is easy to use (though you need to use a mouse and keyboard) and has been recommended to Check The Map as an easy way to share your photos to the people you want to see them. And basic accounts are free!",http://www.flickr.com/learn_more.gne,,,,
Minute Timer,,"This is an excellent idea to help increase concentration span and time awareness. Perhaps you want a student to write for two minutes, or to complete an activity within 10 minutes?  Clicking this link takes you to a freely downloadable timer. Simply choose the length of time you want to countdown and click start to turn on the timer. When the time's up, a message will appear in the middle of the screen to tell you - simple, but effective. Thanks to Tara Marshall for contributing this.",http://www.pc-tools.net/win32/mintimer/,,,,
The Dyslexia Shop,,"The Dyslexia Shop is a web-based information site and shop. It is aimed primarily at the parents of children with dyslexia. However, adults with dyslexia, learning support teachers and those responsible for the development of people with special educational needs will find something of interest.

We sell tried and tested products, all of which have been carefully selected to be useful to a person with dyslexia. E.g. Books, teaching aids, electronic spell-checkers, computer software, digital voice recorders, games, coloured overlays, wobble boards, writing slopes, typing tutors, stationery and dietary supplements etc. 

We also provide access, through our website, to journal articles, research papers and books to aid product evaluation.",http://www.thedyslexiashop.co.uk,,,,
