Title,Subject,Description,Author,ASIN,Website address
KEYSTONE SPEECHMASTER SOLO,,"KeyStone SpeechMaster is a voice input text editor program and voice output screen reader program and spell check utility designed for use by individuals with learning disabilities. The system integrates voice recognition technology (Dragon NaturallySpeaking Professional software; see separate entry) with a text-to-speech screen reader (KeyStone ScreenSpeaker) and a spelling and homophone checker. The program reads enrolment scripts in small phrases for the user to repeat, making it unnecessary for users to read a single word in order to set up voice input. For voice input, the user dictates into a microphone attached to a computer. Speech is converted into text and displayed on the screen using Microsoft Word. The program then speaks out the text in its own clear computer-generated voice so that the user can determine whether the correct words have been displayed. When a correction is needed, the program speaks the displayed alternatives. If the correct text is heard among the options, it can be chosen with a voice command like Choose 3. The program's spelling and homophone checking functions and screen reader can be started as dictation proceeds	 or on completion. Where questions arise detailed help is supplied both on-screen and audibly. A hot-line telephone and e-mail service is also available.",Words Worldwide Ltd,N/A,http://www.wordsworldwide.co.uk
KEYSTONE TUTOR,,"KeyStone Tutor has been designed for those who find it
daunting to use speech recognition with a word processor.  A simple incentive
scheme encourages users to improve their enunciation which leads to higher
recognition performance and a greater success rate in using this technology",Words Worldwide Ltd,N/A,http://www.wordsworldwide.co.uk
Travel with Me,,"Travel with Me creates opportunities to develop strategies to make your journeys successful!. There are over 50 learning topics such as planning a journey, learning foreign language phrases.",Raising Horizons Ltd - Author/creator Dr Paul Quantock,ISBN 978-0-9563791-1-5,http://www.raisinghorizons.com
What's Happening?,,"The University of Strathclyde, Glasgow, worked with 16 young people with learning disabilities to find out what makes them feel anxious or depressed. Using video and photo diaries the young people talked about how they felt. This DVD presents the experiences of three young people from this study. They talk about how their lives became difficult or unhappy and what helped them to feel better. The DVD is intended to help young people, families and practitioners to identify and learn from their experiences. The DVD is priced £5 (for young people and carers) or £15 (for professionals and organisations).",Foundation for People with Learning Disabilities and the University of Strathclyde in Glasgow,N/A,http://www.fpld.org.uk/page.cfm?pagecode=PUNP#whats_happening
ISPEEK at School,,"ISPEEK at School has 1300 visual communication images most suited to situations in the home setting. 
Files are:- 

Templates
Ispeek Card Maker
Schedule Strips
Behaviour 
Choose 
School Visits
Certificate
What’s the Matter ?
Class Timetable

Ready Made Files
School day
Community

Images
(Saved both as jpegs and as wmf files)

1. CURRICULUM  2. SENSORY  3. BEHAVIOUR  4. RESOURCES  5. TIME AND NUMBER  6. CONCEPTS  7. UNDERSTANDING 8. PLACES AND VISITS  9. INDEPENDENCE  10. SOCIAL SKILLS  11. TRANSITIONS  12. AROUND AND ABOUT  13. BREAK TIMES  14. WORKING 15. ACTIONS 16. PERSONAL CARE",Janet Dixon,N/A,http://www.jkp.com/catalogue/book.php/isbn/9781843105114
ISPEEK at Home,,"ISPEEK at Home has 1300 visual communication images most suited to situations in the home setting. 

Files are:-

Templates
Ispeek Card Maker
Schedule Strips
Injection
Hospital
Dressing
Feelings
Meal Choices
Where are you Hurting?

Ready Made Files
Doctor
Hygiene

Images
(Saved both as jpegs and as wmf files)

1. FEELINGS 2. FACIAL EXPRESSIONS 3. PLEASE LISTEN 4. IN THE HOME 5. SAVOURY FOOD  6. SWEET FOOD  7. DRINKS  8. PACKAGING  9. SHOPPING  10. COOKING  11. HEALTH AND HYGIENE 12. HOLIDAYS - VACATIONS  13. CLOTHES  14. LEISURE  15. PEOPLE  16. MEDICAL",Janet Dixon,N/A,http://www.jkp.com/catalogue/book.php/isbn/9781843105107
Widgit Rebus Symbol Glossary,,"The Glossary is 152 pages and describes:

    * The Rebus Symbol Development Project and design criteria of the new symbols
    * A section on using the Glossary
    * A full listing of the Widgit Rebus symbol set classified under topic headings.","Tina Detheridge, Helen Whittle and Cate Detheridge",953934616,
The Curious Incident of the Dog in the Night time,,,Mark Haddon,99450259,
The Essential Difference,,,Simon Baron-Cohen,141011017,
Of Mice and Aliens: An Asperger Adventure,,,Kathy Hoopman,184310007X,
The Autistic Spectrum - A Parents' Guide,,,The National Autistic Society,1899280081,
Symbols Now,,"The follow up to Literacy Through Symbols,  Symbols Now  is a collection of examples of ways in which pictorial symbols are being used with and by people with learning difficulties. The book is full of examples from practitioners who wish to share their experience more widely, to the benefit of everybody working in the field. The book highlights interesting and good practice which will help to inform newcomers and experts alike. Symbols Now is edited by Chris Abbott from Kings College, London.  Symbols Now will be of interest to anybody involved with children and adults who have learning difficulties, or to people who would like to know more about how symbols can enhance access to learning and information.",Chris Abbott,953934608,
Literacy Through Symbols,,"Symbols are used widely to help children and adults with learning difficulties. Their use ranges from helping children who have difficulties learning to spell, through to children and adults who are not able to use traditional text as a means of reading and self-expression.

This second edition of an important and essentially practical book is now fully updated and revised to take into account the significant developments that have been made in using symbols to support literacy. It is full of ideas and examples of the ways in which access to literacy can be enhanced through the use of symbols, based on experience of the authors and many practitioners.

Topics covered include:

    * how symbols are being used in schools, colleges and day centres
    * ways in which symbols can help and enhance learning and independence
    * lots of new examples of good practice from practitioners
    * the results of the Rebus Symbol Development project
    * how symbols fit with the National Literacy Strategy
    * how symbols can be used to make information more accessible",Tina and Mike Detheridge,1853468525,
Teaching Reading to Children with Down Syndrome,,,Patricia Logan Oelwein,933149557,
Mathematics for Children with Severe and Profound Learning Difficulties,,,Les Staves,1853466956,
One Child,,,Torey Hayden,7199058,
Calling The Shots,,"People with learning disabilities and family carers being trainers and decision makers...You're having a laugh surely?						
Released October 2005 Calling The Shots is a new film and interactive training resource in DVD format which shows you how to fully involve people with learning disabilities and family carers in every aspect of training and more.  								
For more information email clare.h@scld.co.uk or visit http://www.ixseed.org.uk","Heartfelt Ltd, Scottish Borders Council and SCLD",n/a,http://www.scld.org.uk/training-consultancy/training/other-learning-resources/calling-shots/calling-shots-dvd-developed-par
