Title,Name,Region,Address,Town,Postcode,Telephone,Email,Contact first name,Contact last name,Description,Access,Cost,Website address,Sector,Sector - other
Adapted computers for people with disabilities,Pass IT On,Scotland,14 Wardie Avenue,Edinburgh,EH5 2AB,0131 476 1645,admin@passitoncomputers.co.uk,Sandy,Kerr,"Pass IT On adapts donated computers and gives them at little or no cost to disabled people of all ages who live in the EH (Edinburgh) post code area. The only criteria is that clients would find it hard or impossible to access publicly available IT (eg in the local library).  We also sell refurbished IT to the public, charities and small businesses at low cost in order to fund our work.",all,"There may be a small charge for adaptations, but we can provide financial help.",www.passitoncomputers.co.uk,Computers & The Internet,
Cranwell Court,Cranwell Court,All of UK,"The Lane, Wyboston, Bedfordshire, MK44 3AS",Wyboston,MK44 3AS,01707 646646,info@brookdalecare.co.uk,Wendy,Whyte,"Cranwell Court is a residential care home for adults with High Functioning Autism and Asperger Syndrome. 
 
The home utilises local community facilities to provide a structured, supportive lifestyle for our clients.  Clients are supported and encouraged to develop independent living and social awareness skills to enable them to become more independent. 

Every client receives continual assessment and intervention by our Multi Disciplinary Team which includes, Consultant Psychiatrists, Psychologists, Speech and Language Therapists and Occupational Therapists.",adult,All clients are funded by their Local Authority,www.brookdalecare.co.uk,Other,Residential Care
Milton Park Hospital,Milton Park Hospital,All of UK,"The Lane, Wyboston, Bedfordshire, MK44 3AS",Wyboston,MK44 3AS,01707 646646,info@brookdalecare.co.uk,Wendy,Whyte,"Milton Park Hospital is a specialist service providing therapeutic care to adults with Autism and Asperger syndrome who require a secure, supportive environment. 
 
The hospital utilises an on-site activity centre and local community facilities to provide a structured, supportive lifestyle for our clients.  Clients are supported and encouraged to develop independent living and social awareness skills to enable them to become more independent. 

Every client receives continual assessment and intervention by our Multi Disciplinary Team which includes, Consultant Psychiatrists, Psychologists, Speech and Language Therapists and Occupational Therapists.",adult,All clients are funded by their local PCT or Local Authority,www.brookdalecare.co.uk,Hospital Service,
Sensafloat,Hydrobility Ltd,All of UK,"Saplings,,Felcourt Road,",Felcourt,RH19 2LA,1883625796,hydro@reboundtherapy.org,Lois,Brooks,"Hydrobility provide unique special needs swimming aids, designed to
facilitate relaxation and movement in water for people with profound and multiple impairments.
The Hydrobility range comprises the Sensafloat™ and the Flexitube.
Our products have applications and benefits for children and adults across the whole spectrum of special needs.",all,Yes,www.reboundtherapy.org/hydrotherapy,Accessibility Services,
Work Placement,Newpath Ventures Limited,Midlands,"Kings Hill Nurseries,Kings Hill Lane,Coventry CV3 6PS",Coventry,CV3 6PS,024 7669 0835,julies@newpath.co.uk,Julie,Shepherd,"Newpath provides placements, training and work experience for people with a broad spectrum of Learning Disabilities within various Catering Operations, Horticulture and Contract Packers. 
Newpath is a subsidiary of Life Path Trust Limited who have provided support and care for people with Learning Disabilities for over 30 years. 
Working with people with Learning Disabilities is central to the culture of the business and we work in teams together with colleagues to help maximise each worker’s potential. The company is run as any other commercial concern but with the social awareness of the Social Firms UK ethos – Enterprise, Employment, and Empowerment.",adult,Please contact us for information,www.life-path.org.uk,Employment Services,"Catering, Horticulture, Contract Packers"
Support Accommodation,Horizons Support (Lincs),N.E. England,435 Grimsby Road,Cleethorpes,DN35 8AJ,01472 235269,tony.griffin@horizonssupport.com,Tony,Griffin,"Offer supported accommodation to adults who find learning difficult, and who would be vulnerable or susceptible to various forms of abuse. These adults include those with moderate learning disabilities, or who may have a physical disability or perhaps who have experienced emotional problems. 

Offer short or long term packages to meet the individuals needs. This will depend upon the assessment of the individual, and we will provide the appropriate systems and assistance such as daily living, which may include day to day financial management, and assessing community support and resources, life skills etc.",adult,Direct and none dierct payemnet,,Housing,supported living
Advocacy,Wirral Mind,N.W. England,"St.Catherines Hospital, Derby Road, Tranmere",Wirral,CH42 0LQ,0151 653 6400,advocacywirralmind@btconnect.com,Karen,Blair,"Our Advocacy service takes action to help people say what they want, secure their rights, represent their interests and obtain services they need. Our Advocate will aim to empower their partner to speak up for themselves but can act on the persons behalf if they want.",adult,no,http://home2.btconnect.com/wirralmind/,Advocacy,
residential services,St Paul's Hospital,S.E. England,"St Pauls Hospital,Boxted Road, Mile End, Colchester,Essex,CO4 5HF",Colchester,C04 5HF,01206 848000,post@careaspirations.com,Ruth,Georgiou,"Care Aspirations is an experienced specialist Independent Healthcare Provider caring for more than 100 adults with a learning disability from all over the UK.  The service emphasis is on those who require intensive and specialist healthcare, within independent hospital settings.  
Care Aspirations’ range of services includes Dual diagnosis (a learning disability with underlying mental health disorders)
  Detention under the Mental Health Act 1983,
  Challenging behaviour,
   Personality Disorder,
  Complex needs including epilepsy,
  Autism & Aspergers Syndrome,
Specialist female Services,",adult,Yes,www.careaspirations.com,Hospital Service,
Clear Thoughts Project,Clear Thoughts - ARC,All of UK,"ARC House,Marsden Street,Chesterfield,Derbyshire,S40 1JY",Chesterfield - UK wide,S40 1JY,07931 116099,david.grundy@arcuk.org.uk,David,Grundy,"Clear Thoughts (www.clearthoughts.info) is the name and website address for the ’mental health in learning disability knowledge centre’ project. 

This is a Department of Health funded project for individuals, their families and carers and front line social care staff.   It will give information about mental health in learning disability. 

The information is provided in a clear and accessible style. 

The Clear Thoughts website gives information on lots of issues about mental health and learning disability.  

National organisations such as the Valuing People Support Team, the Mental Health Foundation, Mencap, Turning Point and others are active supporters of the project. 

look at the website www.clearthoughts.info",all,No,www.clearthoughts.info,Health Care & Advice,
Supported Living & Outreach Services,Living Ambitions,N.W. England,"Living Ambitions, Oliver House, Hallgate, Astley Village, Chorley",Chorley,PR7 1XA,01257 220044,admin@livingambitions.co.uk,Sandra,Knaggs,"Bespoke Supported Living and Outreach Services created for children young people and adults with learning, physical and sensory difficulties, mental health support needs and autistic spectrum conditions",all,Yes dependent on assessment,www.livingambitions.co.uk,Supported Living,
What We Do,ChAPS,N.W. England,"Rose Cottage,Alvanley Road",Helsby,WA6 9PU,0844 850 8607,info@asparents.org.uk,Jo,Garner,"7 Monthly meetings for parents across Cheshire
Information Evenings
Short break services
Intensive social skills classes
Facebook
Annual Conference
Website
Counselling for parents and adults on the spectrum
Personalised supported employment
Autism Criminal Justice Forum & Attention Card
Employability qualifications
Social events for adults
Social skills and independence training for adults",all,No,www.asparents.org.uk,Charities,
"GOAL (Gorfenna for Opportunity, Achievement and Learning)",GOAL - Adult Day Service,S.W. England,"Gorfenna,St. Ive,Nr. Liskeard,Cornwall",Liskeard,PL143LX,01579 384810,rosemaryfarley@gmail.com,Rosemary,Farley,"At GOAL we want to enable service users to pursue the normality of life, the work habit, achieve tasks and being successful. We provide opportunities in woodwork, metalwork, sewing, poultry keeping, construction, animal care, retail, landscape gardening and more. For more information or to arrange a visit please contact us.",adult,,http://gorfenna-goal.co.uk/,Education,
Independent Residential Special School,Sheiling School Ringwood,All of UK,"Horton Road,Ashley",Ringwood,BH24 2EB,01425 477488,enquiries@sheilingschool.co.uk,Nikki,McGrath,"We provide individually tailored education, care and therapy for children and young people up to 19 years, including those with Autism. We offer day and residential placements, up to 52 weeks. We also offer Saturday and Holiday Activity Days for local children with disabilities.",children,Fees details on website,www.sheilingschool.co.uk,School / College,
Bond Holiday Homes,Bond Hotels & Holidays,N.W. England,"Bond Holiday Homes,Marton Mere Holiday Village,Mythorp Road",Blackpool,FY4 4XN,1253341218,sales@bondhotel.co.uk,Any member,of staff,The Bond Hotel Homes are fully-accessible luxury holiday homes  in a beautiful location bordering a nature reserve. All Homes offer wheelchair-accessible accomodation for visitors with disabilities and special needs. Please call 01253 341218 or visit www.bondhotel.co.uk for further information.,all,Value for money holidays,www.bondhotel.co.uk,Accessibility Services,
Specialist Teaching and Assessing of Dyslexic Students,Bramleys Dyslexia,S.W. England,"Groves Down,West Wellow",Romsey,SO51 6DZ,07711 266560,afmap@hotmail.com,Angela,Higgs,Specialist tuition for Dyslexic students and Adults. Assessing for examination concessions and Disabled Students' Allowance.,all,Appropriate fee charged.,,Tutor,
Travel Training,Pursuing Independent Paths Travel Training Project W9,London,"PIP Travel Training Project W9,4e Warwick Court,Shirland Mews,Westminster,London,W9 3DY",London,W9 3DY,020 8 960 5428,fredk@piponline.co.uk,Fred,Kerins,"The project offers one to one travel training to young people with a learning difficulty living in Westminster. The project gives prority to young people(16 - 19) in transition who are accessing college, work/work experience, leisure or any other community service.",adult,No,,Charities,
Acrediated training Dyslexia,INDIGO Dylexia Centre,All of UK,"The INDIGO Dyslexia Centre,Charing Cross Centre,17 - 19 St John Maddermarket",Norwich,NR2 1DN,01603 766 761,indigodyslexia@aol.com,Martin,Parsonage,National acrediated L3 OCN Supporting the Dyslexic Learner,all,£282 for the course,4dyslexics.com,Education,Dyslexia
Supported Living for adults who have a learning disability,Valley Supported Living,N.W. England,"Valley Supported Living,The Kingfisher Centre,Futures Park","Bacup, Rossendale",OL13 0BB,01706 878031,sprice@valley-supported-living.org.uk,Shaun,Price,"Valley Supported Living is a parent lead group which was formed to provide support to respective sons/daughters.

We are curently awaiting CSCI registration and envisage this will be in place by April 2006.We will then be able to provide support to adults with a learning disability who reside or originate from the Rossendale Valley. This remit is due to a condition set by the Big Lottery who provided us with a capital grant to start up.

We are a Registered Charity - 1105775.

In addition to becoming registered with CSCI we are also to register as a Preferred Provider with Rossendale Social Services.",adult,Yes,www.valley-supported-living.org.uk,Supported Living,
Sport & Fitness Opportunities,Active London Project,London,Aspen House 1 Gayford Rd Shepherds Bush W12 9BY,London,W12 9BY,7932917180,karen.linnane@btinternet.com,Karen,Linnane,"Active London Projects provide sport and exercise opportunities for people with learning disabilities, we support people to access mainstream services and help to find sport and exercise opportunities suitable to the individual we offer advice information and training.",all,costs are incurred when attending sport sessions but not for referal or consultation,,Sports & Leisure,
Independent Chartered Educational and Child Psychologist,Educational and Child Psychology Services,N.W. England,"Fairfield,,Stevens Street,,Alderley Edge,,Cheshire,SK9 7NL",Alderley Edge,SK9 7NL,01625 599858,mail@emmahammonds.com,Emma,Hammonds,"Independent educational and child psychology assessment for special needs.  Diagnosis and intervention advice for specific learning difficulties - dyslexia, dyspraxia, dysgraphia and dyscalculia. Advice related to the identification of Central Auditory Processing Difficulties and Attention Deficit Disorder. Identification of social communication difficulties such as Asperger Syndrome and Autistic Spectrum Disorders. Cognitive Behavioural Therapy programmes for children with emotional behavioural difficulties and other related issues.",children,Yes,www.emmahammonds.com,Assessment,
Learning Disabilities NHS Trust,North Cumbria Mental Health & Learning Disabilities NHS Trust,N.W. England,"Carleton Clinic,Cumwhinton Drive,Carlisle,CA1 3SX",Carlisle,CA1 3SX,01228 602000,NCMHLD-Trust-Admin@ncumbria.nhs.uk,Learning Disabilities,Team,NHS Trust providing services for people with learning disabilities throughout Cumbria.,all,No,www.ncumbria.nhs.uk/mhld,Health Care & Advice,
Dyslexia/ Dyspraxia Careers advice/ Specialist tuition and advice on workplace reasonable adjustments.,Dyslexia Advice and Training for Adults,All of UK,"33 South Grove House, 19 South Grove,,Highgate,London N6 6LR",London,N6 6LR,020 8348 7110,brianhagan2003@yahoo.co.uk,Brian,Hagan,"We provide specialist advice and training to Dyslexic Adults in 1. Career / University choice; 2. Specialist Tuition at Under and post graduate level;
3. Advice to employees and employers on reasonable adjustments to assist dyslexic employees fulfil their potential in the workplace.",adult,"Yes, but government subsidies are available for some services- we will advise.",,Training,Higher Education and employment advice.
UBU,UBU,N.E. England,"UBU North East Regional Office,Suite 5 Bryon House,Seaham Grange Industrial Estate,Seaham,County Durham",Seaham,SR7 0PY,0191 523 9184,enquiries@nlccs.co.uk,Kelly,Morris,"We provide accommodation and support for adults with learning disabilities and children with autism, emotional & behavioural problems and learning disabilities. Our safe, consistent, progressive, person centred support for adults and children/ young people enables them to make changes that will help them transform their lives.",all,,www.ubu.me.uk,Supported Living,"Residential Services, Respite & Direct Payments"
personal assistants,assisted lifestyles,N.E. England,"Assisted Lifestyles,Unit 119,Tedco business centre,Viking industrial park",Jarrow,NE32 3DT,0191 4283432,info@assistedlifestyles.co.uk,mick paul or ann,brown,We provide personal assistants to people with learning disabilities usually through direct payments.  We offer life and leisure services within the local community and beyond we are not (a domiciliary care service).  We are a life and leisure service that means we are able to work with customers on a one to basis reponding to the needs and lifestyle changes of our customers.,adult,Our service costs from £20.00 per hour,www.assistedlifestyles.co.uk,Other,life and leisure opportunities 24 hrs a day
Pontville School,Pontville School,All of UK,"Black Moss Lane,Ormskirk,Lancashire,L39 4TW",Ormskirk,L39 4TW,01695 578734,jsingleton@pontville.co.uk,Jan,Singleton,"Pontville is a residential and day school which caters for pupils at Key stages 3 & 4 and offers a post 16 facility.  Pontville schools which caters for students whose statements of Social Educational Needs indicate social communication difficulties such as ASD, Asperger's Syndrome, Communication difficulties, Sematic Pragmatic disorders, Dyspraxia, Speech and Language Difficulties. Such pupils will require an appropriate differentiated Natinal Curriculum which may be modified to meet individual needs.  The school provides access to the National Curriculum and assessment via Certificates of Achievements, Entry Level Certificates and GCSEs.",all,The local authorites pay,,Education,
